Name,Count,mean_us,sum_ms,pct_of_kernel_time
_w8a8_triton_block_scaled_mm,1310720,73.28,96049.658,75.4
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,660480,15.678,10354.796,8.13
kernel,248960,40.261,10023.414,7.87
per_token_group_quant_8bit_kernel,983040,2.406,2364.671,1.86
flash_fwd_splitkv_combine_kernel,81280,21.028,1709.127,1.34
fused_recurrent_gated_delta_ru_18...,243840,5.939,1448.247,1.14
triton_red_fused__to_copy_add__9...,245760,2.304,566.117,0.44
flash_fwd_splitkv_kernel,81920,6.231,510.472,0.4
silu_and_mul_per_block_quant_kernel,327680,1.55,508.008,0.4
_causal_conv1d_update_kernel,243840,1.914,466.682,0.37
triton_red_fused__to_copy_add__10...,163840,2.467,404.252,0.32
triton_poi_fused__to_copy__uns_8...,245760,1.545,379.767,0.3
triton_per_fused__to_copy_mean_7...,245760,1.094,268.885,0.21
triton_poi_fused_4,245760,0.99,243.371,0.19
ncclDevKernel_AllGather_RING_LL,5120,43.922,224.882,0.18
triton_red_fused__to_copy_add__11...,81920,2.647,216.81,0.17
triton_red_fused__to_copy_add__15...,81920,2.629,215.373,0.17
triton_red_fused__to_copy_add__14...,81920,2.296,188.108,0.15
reshape_and_cache_flash_kernel,81920,1.787,146.4,0.11
triton_poi_fused_zeros_5,163840,0.843,138.096,0.11
triton_poi_fused_clone_copy_in_12...,81920,1.632,133.7,0.1
triton_poi_fused_7,81920,1.459,119.496,0.09
triton_red_fused_5,81920,1.284,105.165,0.08
triton_poi_fused_mul_per_token_13...,81920,1.113,91.191,0.07
triton_poi_fused_3,76800,1.002,76.919,0.06
unrolled_elementwise_kernel,50040,1.32,66.036,0.05
triton_poi_fused_zeros_4,76800,0.842,64.674,0.05
index_elementwise_kernel,14080,3.4,47.877,0.04
vectorized_elementwise_kernel,34920,1.105,38.579,0.03
reduce_kernel,5120,6.037,30.908,0.02
chunk_gated_delta_rule_fwd_ker_6...,1920,12.396,23.801,0.02
merge_16x16_to_64x64_inverse_k_5...,1920,11.249,21.598,0.02
elementwise_kernel,12160,1.717,20.877,0.02
chunk_fwd_kernel_o,1920,10.145,19.478,0.02
_compute_slot_mapping_kernel,5120,2.331,11.937,0.01
Kernel2,1920,6.014,11.547,0.01
indexSelectSmallIndex,5080,2.056,10.445,0.01
triton_red_fused__to_copy_add__2...,5120,2.029,10.386,0.01
recompute_w_u_fwd_kernel,1920,4.846,9.304,0.01
_causal_conv1d_fwd_kernel,1920,4.845,9.302,0.01
triton_poi_fused_zeros_0,5120,1.439,7.366,0.01
chunk_scaled_dot_kkt_fwd_kerne_4...,1920,3.679,7.064,0.01
triton_poi_fused_add_bitwise_a_16...,5080,1.19,6.043,0.0
triton_poi_fused_bitwise_and_b_17...,5080,1.08,5.485,0.0
_fused_post_conv_kernel,1920,2.845,5.462,0.0
triton_poi_fused_2,5120,1.013,5.185,0.0
splitKreduce_kernel,1920,1.66,3.186,0.0
chunk_local_cumsum_scalar_kern_3...,1920,1.594,3.061,0.0
_zero_kv_blocks_kernel,40,10.608,0.424,0.0
vectorized_gather_kernel,40,4.198,0.168,0.0
triton_poi_fused_add_bitwise_a_1...,40,1.213,0.049,0.0
