Name,Count,mean_us,sum_ms,pct_of_kernel_time
_w8a8_triton_block_scaled_mm,1310720,73.283,96053.973,75.26
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,660480,15.85,10468.844,8.2
kernel,248960,40.26,10023.104,7.85
per_token_group_quant_8bit_kernel,983040,2.409,2368.098,1.86
flash_fwd_splitkv_combine_kernel,81280,21.028,1709.164,1.34
fused_recurrent_gated_delta_ru_18...,243840,5.94,1448.403,1.13
triton_red_fused__to_copy_add__9...,245760,2.304,566.284,0.44
flash_fwd_splitkv_kernel,81920,6.291,515.358,0.4
silu_and_mul_per_block_quant_kernel,327680,1.551,508.372,0.4
_causal_conv1d_update_kernel,243840,1.924,469.094,0.37
triton_red_fused__to_copy_add__10...,163840,2.835,464.414,0.36
triton_poi_fused__to_copy__uns_8...,245760,1.553,381.593,0.3
triton_per_fused__to_copy_mean_7...,245760,1.358,333.769,0.26
triton_poi_fused_4,245760,0.999,245.601,0.19
ncclDevKernel_AllGather_RING_LL,5120,43.789,224.199,0.18
triton_red_fused__to_copy_add__11...,81920,2.471,202.405,0.16
triton_red_fused__to_copy_add__15...,81920,2.455,201.144,0.16
triton_red_fused__to_copy_add__14...,81920,2.295,188.026,0.15
reshape_and_cache_flash_kernel,81920,1.786,146.312,0.11
triton_poi_fused_zeros_5,163840,0.843,138.152,0.11
triton_poi_fused_clone_copy_in_12...,81920,1.632,133.7,0.1
triton_poi_fused_7,81920,1.459,119.527,0.09
triton_red_fused_5,81920,1.284,105.186,0.08
triton_poi_fused_mul_per_token_13...,81920,1.112,91.105,0.07
triton_poi_fused_3,76800,1.001,76.904,0.06
unrolled_elementwise_kernel,50040,1.324,66.242,0.05
triton_poi_fused_zeros_4,76800,0.842,64.663,0.05
index_elementwise_kernel,14080,3.406,47.957,0.04
vectorized_elementwise_kernel,34920,1.105,38.59,0.03
reduce_kernel,5120,6.034,30.894,0.02
merge_16x16_to_64x64_inverse_k_5...,1920,11.262,21.623,0.02
chunk_fwd_kernel_o,1920,11.108,21.327,0.02
elementwise_kernel,12160,1.718,20.884,0.02
chunk_gated_delta_rule_fwd_ker_6...,1920,10.638,20.426,0.02
_compute_slot_mapping_kernel,5120,2.331,11.933,0.01
Kernel2,1920,6.005,11.529,0.01
triton_red_fused__to_copy_add__2...,5120,2.228,11.406,0.01
indexSelectSmallIndex,5080,2.057,10.452,0.01
recompute_w_u_fwd_kernel,1920,4.848,9.309,0.01
_causal_conv1d_fwd_kernel,1920,4.837,9.287,0.01
triton_poi_fused_zeros_0,5120,1.439,7.369,0.01
chunk_scaled_dot_kkt_fwd_kerne_4...,1920,3.684,7.074,0.01
triton_poi_fused_add_bitwise_a_16...,5080,1.19,6.047,0.0
triton_poi_fused_bitwise_and_b_17...,5080,1.079,5.483,0.0
_fused_post_conv_kernel,1920,2.852,5.477,0.0
triton_poi_fused_2,5120,1.012,5.182,0.0
splitKreduce_kernel,1920,1.658,3.184,0.0
chunk_local_cumsum_scalar_kern_3...,1920,1.594,3.061,0.0
_zero_kv_blocks_kernel,40,10.59,0.424,0.0
vectorized_gather_kernel,40,4.237,0.169,0.0
triton_poi_fused_add_bitwise_a_1...,40,1.214,0.049,0.0
