Name,Count,mean_us,sum_ms,pct_of_kernel_time
kernel,5120,1762.612,9024.575,67.29
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,10240,228.84,2343.325,17.47
_w8a8_triton_block_scaled_mm,10240,130.706,1338.427,9.98
ncclDevKernel_AllGather_RING_LL,5120,43.849,224.508,1.67
unrolled_elementwise_kernel,50040,1.313,65.714,0.49
index_elementwise_kernel,14080,3.422,48.174,0.36
silu_and_mul_per_block_quant_kernel,2560,18.075,46.271,0.35
vectorized_elementwise_kernel,34920,1.108,38.672,0.29
reduce_kernel,5120,6.085,31.154,0.23
per_token_group_quant_8bit_kernel,7680,4.049,31.094,0.23
merge_16x16_to_64x64_inverse_k_5...,1920,11.256,21.612,0.16
elementwise_kernel,12160,1.722,20.944,0.16
chunk_gated_delta_rule_fwd_ker_6...,1920,9.778,18.774,0.14
chunk_fwd_kernel_o,1920,7.519,14.436,0.11
_compute_slot_mapping_kernel,5120,2.332,11.938,0.09
Kernel2,1920,5.973,11.469,0.09
flash_fwd_splitkv_kernel,640,17.48,11.187,0.08
indexSelectSmallIndex,5080,2.036,10.343,0.08
_causal_conv1d_fwd_kernel,1920,4.861,9.333,0.07
recompute_w_u_fwd_kernel,1920,4.846,9.305,0.07
triton_red_fused__to_copy_add__9...,1920,4.403,8.453,0.06
chunk_scaled_dot_kkt_fwd_kerne_4...,1920,3.853,7.398,0.06
triton_red_fused__to_copy_add__10...,1280,5.321,6.811,0.05
triton_poi_fused_add_bitwise_a_16...,5080,1.19,6.045,0.05
triton_poi_fused_bitwise_and_b_17...,5080,1.079,5.483,0.04
_fused_post_conv_kernel,1920,2.85,5.473,0.04
triton_poi_fused__to_copy__uns_8...,1920,2.846,5.465,0.04
triton_per_fused__to_copy_mean_7...,1920,1.756,3.372,0.03
triton_red_fused__to_copy_add__15...,640,5.206,3.331,0.02
splitKreduce_kernel,1920,1.658,3.184,0.02
triton_red_fused__to_copy_add__11...,640,4.963,3.177,0.02
chunk_local_cumsum_scalar_kern_3...,1920,1.639,3.148,0.02
triton_poi_fused_4,1920,1.5,2.88,0.02
triton_poi_fused_7,640,4.224,2.703,0.02
triton_red_fused__to_copy_add__14...,640,3.989,2.553,0.02
triton_poi_fused_zeros_5,1280,1.437,1.839,0.01
triton_red_fused_5,640,2.853,1.826,0.01
triton_poi_fused_clone_copy_in_12...,640,2.734,1.75,0.01
reshape_and_cache_flash_kernel,640,2.645,1.693,0.01
triton_poi_fused_mul_per_token_13...,640,2.24,1.434,0.01
triton_poi_fused_zeros_4,600,1.438,0.863,0.01
triton_poi_fused_3,600,1.111,0.667,0.0
_zero_kv_blocks_kernel,40,10.599,0.424,0.0
vectorized_gather_kernel,40,4.162,0.166,0.0
triton_red_fused__to_copy_add__2...,40,3.651,0.146,0.0
triton_poi_fused_zeros_0,40,1.767,0.071,0.0
triton_poi_fused_add_bitwise_a_1...,40,1.21,0.048,0.0
triton_poi_fused_2,40,1.148,0.046,0.0
