Name,Count,mean_us,sum_ms,pct_of_kernel_time
_w8a8_triton_block_scaled_mm,1310720,100.607,131868.041,80.67
ncclDevKernel_AllReduce_Sum_bf16_RING_LL,660480,16.055,10603.741,6.49
kernel,248960,40.247,10019.951,6.13
per_token_group_quant_8bit_kernel,983040,2.402,2361.592,1.44
flash_fwd_splitkv_combine_kernel,81280,21.022,1708.712,1.05
fused_recurrent_gated_delta_ru_18...,243840,5.921,1443.831,0.88
triton_red_fused__to_copy_add__9...,245760,2.305,566.547,0.35
flash_fwd_splitkv_kernel,81920,6.232,510.563,0.31
silu_and_mul_per_block_quant_kernel,327680,1.534,502.668,0.31
_causal_conv1d_update_kernel,243840,1.92,468.197,0.29
triton_red_fused__to_copy_add__10...,163840,2.468,404.281,0.25
triton_poi_fused__to_copy__uns_8...,245760,1.552,381.346,0.23
triton_per_fused__to_copy_mean_7...,245760,1.359,334.012,0.2
triton_poi_fused_4,245760,1.009,248.007,0.15
ncclDevKernel_AllGather_RING_LL,5120,43.884,224.687,0.14
triton_red_fused__to_copy_add__11...,81920,2.47,202.364,0.12
triton_red_fused__to_copy_add__15...,81920,2.454,201.076,0.12
triton_red_fused__to_copy_add__14...,81920,2.121,173.753,0.11
reshape_and_cache_flash_kernel,81920,1.789,146.556,0.09
triton_poi_fused_zeros_5,163840,0.843,138.119,0.08
triton_poi_fused_clone_copy_in_12...,81920,1.633,133.796,0.08
triton_poi_fused_7,81920,1.462,119.805,0.07
triton_red_fused_5,81920,1.288,105.49,0.06
triton_poi_fused_mul_per_token_13...,81920,1.114,91.217,0.06
triton_poi_fused_3,76800,1.002,76.916,0.05
unrolled_elementwise_kernel,50040,1.324,66.266,0.04
triton_poi_fused_zeros_4,76800,0.839,64.436,0.04
index_elementwise_kernel,14080,3.402,47.894,0.03
vectorized_elementwise_kernel,34920,1.105,38.594,0.02
reduce_kernel,5120,6.06,31.027,0.02
merge_16x16_to_64x64_inverse_k_5...,1920,11.245,21.591,0.01
elementwise_kernel,12160,1.719,20.899,0.01
chunk_fwd_kernel_o,1920,10.107,19.406,0.01
chunk_gated_delta_rule_fwd_ker_6...,1920,9.748,18.716,0.01
_compute_slot_mapping_kernel,5120,2.333,11.945,0.01
triton_red_fused__to_copy_add__2...,5120,2.24,11.472,0.01
Kernel2,1920,5.968,11.459,0.01
indexSelectSmallIndex,5080,2.038,10.355,0.01
_causal_conv1d_fwd_kernel,1920,4.85,9.312,0.01
recompute_w_u_fwd_kernel,1920,4.839,9.29,0.01
triton_poi_fused_zeros_0,5120,1.451,7.431,0.0
chunk_scaled_dot_kkt_fwd_kerne_4...,1920,3.818,7.33,0.0
triton_poi_fused_add_bitwise_a_16...,5080,1.189,6.041,0.0
triton_poi_fused_bitwise_and_b_17...,5080,1.079,5.483,0.0
_fused_post_conv_kernel,1920,2.85,5.472,0.0
triton_poi_fused_2,5120,1.007,5.156,0.0
splitKreduce_kernel,1920,1.657,3.182,0.0
chunk_local_cumsum_scalar_kern_3...,1920,1.653,3.174,0.0
_zero_kv_blocks_kernel,40,10.527,0.421,0.0
vectorized_gather_kernel,40,4.21,0.168,0.0
triton_poi_fused_add_bitwise_a_1...,40,1.197,0.048,0.0
